,date,monitor-1-temp-color,monitor-1-temp-data,monitor-1-rehs-color,monitor-1-rehs-data,monitor-2-temp-color,monitor-2-temp-data,monitor-2-rehs-color,monitor-2-rehs-data,monitor-3-temp-color,monitor-3-temp-data,monitor-3-rehs-color,monitor-3-rehs-data,monitor-4-temp-color,monitor-4-temp-data,monitor-4-rehs-color,monitor-4-rehs-data,monitor-5-temp-color,monitor-5-temp-data,monitor-5-rehs-color,monitor-5-rehs-data
360,12/27/2021,green,18,red,17,green,16.5,red,15,green,17.5,red,22,green,18,red,24,,,,
361,12/28/2021,green,19,red,18,green,18,red,18,green,18.5,red,21,green,18,red,25,,,,
362,12/29/2021,green,19.5,red,15,green,18.5,red,15,green,19,red,13,green,18.5,red,22,,,,
363,12/30/2021,green,20,red,12,green,19,red,11,green,19.5,red,12,green,19,red,15,,,,
364,12/31/2021,green,20,red,8,green,19,red,11,green,20,red,8,green,19,red,7,,,,
365,1/1/2022,green,20.5,red,8,green,20,red,3,green,21,red,4,green,20,red,8,,,,
366,1/2/2022,green,18.5,red,6,green,18,red,2,green,19,red,2,green,18.5,red,2,,,,
367,1/3/2022,green,18.5,red,7,green,18,red,5,green,18.5,red,8,green,18,red,2,,,,
368,1/4/2022,green,19,red,2,green,18.5,red,1,green,19.5,red,2,green,19,red,1,,,,
369,1/5/2022,green,17.5,red,1,green,17.5,red,0,green,18.5,red,1,green,18,red,2,,,,
370,1/6/2022,green,17.5,red,1,green,17.5,red,1,green,18.5,red,1,green,18.5,red,2,,,,
371,1/7/2022,green,16.5,blue,,green,16.5,red,1,green,17,blue,,green,17.5,blue,,,,,
372,1/8/2022,green,15.5,red,5,green,15,red,1,green,15.5,red,2,green,16,red,18,,,,
373,1/9/2022,green,15.5,blue,,green,14.5,blue,,green,15,blue,,green,16,blue,,,,,
374,1/10/2022,green,16.5,red,8,green,15.5,red,2,green,16.5,red,2,green,16.5,red,9,,,,
375,1/11/2022,green,15.5,red,5,green,14.5,red,2,green,15,red,4,green,15.5,red,11,,,,
376,1/12/2022,green,16,red,11,green,14.5,red,6,green,15.5,red,6,green,16,red,12,,,,
377,1/13/2022,green,14.5,red,13,green,13.5,red,7,green,15,red,8,green,15,red,21,,,,
378,1/14/2022,green,14.5,red,11,green,13.5,red,7,green,14.5,red,8,green,15,red,24,,,,
379,1/15/2022,green,15.5,red,16,green,14.5,red,8,green,16,red,12,green,16.5,red,25,,,,
380,1/16/2022,green,16.5,red,18,green,15.5,red,7,green,16.5,red,11,green,17,red,29,,,,
381,1/17/2022,green,16.5,red,20,green,15,red,7,green,16.5,red,12,green,16.5,red,25,,,,
382,1/18/2022,green,16,red,20,green,15,red,10,green,16,red,12,green,16.5,red,28,,,,
383,1/19/2022,green,16.5,red,19,green,15.5,red,10,green,16,red,15,green,17,red,29,,,,
384,1/20/2022,green,15.5,red,18,green,14,red,15,green,14.5,red,12,green,16,red,26,,,,
385,1/21/2022,green,16,red,17,green,14.5,red,10,green,15.5,red,15,green,16.5,red,20,,,,
386,1/22/2022,green,16,red,15,green,14.5,red,7,green,15,red,12,green,16,red,22,,,,
387,1/23/2022,green,16,red,22,green,14.5,red,11,green,15,red,15,green,15.5,red,28,,,,
388,1/24/2022,green,16,red,18,green,15,red,8,green,15,red,13,green,15.5,red,32,,,,
389,1/25/2022,green,16.5,red,27,green,15,red,11,green,15.5,red,21,green,16,red,34,,,,
390,1/26/2022,green,16,red,22,green,14.5,red,12,green,15,red,18,green,15.5,yellow,54,,,,
391,1/27/2022,green,16.5,red,34,green,15,red,18,green,15,red,26,green,15.5,yellow,54,,,,
392,1/28/2022,green,16,red,35,green,14,red,17,green,14.5,red,29,green,14.5,green,71,,,,
393,1/29/2022,green,15.5,red,36,green,14,red,18,green,14.5,red,23,green,14.5,green,73,,,,
394,1/30/2022,green,15.5,red,33,green,14,red,19,green,14.5,red,25,green,14,green,76,,,,
395,1/31/2022,green,16,yellow,51,green,14,red,19,green,15,red,29,green,14.5,green,77,,,,
396,2/1/2022,green,15.5,yellow,49,green,14,red,20,green,14.5,red,30,green,15,green,77,,,,
397,2/2/2022,green,15.5,yellow,51,green,14,red,23,green,15,red,32,green,15.5,green,75,,,,
398,2/3/2022,green,15.5,yellow,54,green,14,red,22,green,15,red,30,green,15.5,green,76,,,,
399,2/4/2022,green,15,yellow,56,green,13.5,red,25,green,15,red,33,green,15,green,78,,,,
400,2/5/2022,green,14.5,yellow,55,green,13,red,29,green,14.5,red,36,green,14.5,green,76,,,,
